date,observer,station,latitude,longitude,row(0-3119),column(0-2599),altitude,temperature,penalty
2018-01-01 00:00:00,01,11001,45.5200,141.9350,57,1594,26,-0.70,0
2018-01-01 00:00:00,01,11016,45.4150,141.6783,70,1574,3,-1.99,0
2018-01-01 00:00:00,01,11046,45.3050,141.0450,83,1523,65,0.38,0
2018-01-01 00:00:00,01,11061,45.4033,141.8017,71,1584,8,-4.89,0
2018-01-01 00:00:00,01,11076,45.3350,142.1700,79,1613,13,-0.58,0
2018-01-01 00:00:00,01,11091,45.2417,141.1867,90,1534,30,-1.42,0
2018-01-01 00:00:00,01,11121,45.2483,141.8517,90,1588,23,-10.35,0
2018-01-01 00:00:00,01,11151,45.1783,141.1383,98,1531,14,-2.86,0
2018-01-01 00:00:00,01,11176,45.1067,141.7650,107,1581,16,-3.86,0
2018-01-01 00:00:00,01,11206,45.1250,142.3500,104,1628,18,-9.55,0
2018-01-01 00:00:00,01,11276,44.9650,142.2800,124,1622,25,-13.91,0
2018-01-01 00:00:00,01,11291,44.9400,142.5850,127,1646,7,-4.81,0
2018-01-01 00:00:00,01,11316,44.8417,142.4800,138,1638,14,-11.79,0
2018-01-01 00:00:00,01,12011,44.8283,142.0767,140,1606,22,-2.44,0
2018-01-01 00:00:00,01,12041,44.7267,142.2650,152,1621,40,-11.21,0
2018-01-01 00:00:00,01,12141,44.4800,142.3417,182,1627,77,-10.19,0
2018-01-01 00:00:00,01,12181,44.3700,142.4567,195,1636,89,-9.51,0
2018-01-01 00:00:00,01,12231,44.2950,142.6367,204,1650,143,-8.52,0
2018-01-01 00:00:00,01,12261,44.1867,142.4167,217,1633,135,-13.90,0
2018-01-01 00:00:00,01,12266,44.1183,142.5950,225,1647,225,-11.15,0
2018-01-01 00:00:00,01,12301,44.0283,142.4100,236,1632,150,-12.50,0
2018-01-01 00:00:00,01,12386,43.8700,142.2600,255,1620,140,-12.40,0
2018-01-01 00:00:00,01,12396,43.8750,142.4800,254,1638,175,-8.38,0
2018-01-01 00:00:00,01,12411,43.8467,142.7533,258,1660,324,-11.21,0
2018-01-01 00:00:00,01,12442,43.7567,142.3717,269,1629,120,-8.11,0
2018-01-01 00:00:00,01,12451,43.7017,142.5083,275,1640,215,-6.58,0
2018-01-01 00:00:00,01,12501,43.6700,142.4467,279,1635,211,-7.77,0
2018-01-01 00:00:00,01,12512,43.6433,142.5817,282,1646,310,-6.99,0
2018-01-01 00:00:00,01,12551,43.5883,142.4933,289,1639,250,-6.99,0
2018-01-01 00:00:00,01,12596,43.4550,142.4650,305,1637,220,-7.06,0
2018-01-01 00:00:00,01,12626,43.3333,142.4000,320,1631,174,-2.50,0
2018-01-01 00:00:00,01,12632,43.3017,142.5217,323,1641,315,-2.28,0
2018-01-01 00:00:00,01,12691,43.1683,142.5683,339,1645,350,-3.21,0
2018-01-01 00:00:00,01,12746,42.9783,142.3950,362,1631,332,-4.03,0
2018-01-01 00:00:00,01,13061,44.8933,141.7617,132,1580,9,-2.40,0
2018-01-01 00:00:00,01,13086,44.7183,141.8067,153,1584,7,-3.61,0
2018-01-01 00:00:00,01,13121,44.5233,141.7700,177,1581,27,-5.96,0
2018-01-01 00:00:00,01,13146,44.4283,141.4217,188,1553,38,-0.17,0
2018-01-01 00:00:00,01,13181,44.3633,141.7000,196,1575,8,-4.86,0
2018-01-01 00:00:00,01,13261,44.0483,141.8567,234,1588,30,-8.67,0
2018-01-01 00:00:00,01,13277,43.9450,141.6317,246,1570,24,-2.44,0
2018-01-01 00:00:00,01,13311,43.8483,141.5100,258,1560,20,0.10,0
2018-01-01 00:00:00,01,13321,43.8533,141.7600,257,1580,20,-5.40,0
2018-01-01 00:00:00,01,14026,43.5817,141.3867,290,1550,3,-0.72,0
2018-01-01 00:00:00,01,14071,43.3967,141.4367,312,1554,5,-0.80,0
2018-01-01 00:00:00,01,14101,43.2200,141.6450,333,1571,9,-3.19,0
2018-01-01 00:00:00,01,14116,43.1483,141.2217,342,1537,5,-2.70,0
2018-01-01 00:00:00,01,14121,43.1933,141.3700,336,1549,5,-3.31,0
2018-01-01 00:00:00,01,14136,43.1100,141.6017,346,1568,8,-3.30,0
2018-01-01 00:00:00,01,14163,43.0600,141.3283,352,1546,17,-2.20,0
2018-01-01 00:00:00,01,14206,42.9267,141.5650,368,1565,30,-3.06,0
2018-01-01 00:00:00,01,14286,42.7717,141.4067,387,1552,290,-1.06,0
2018-01-01 00:00:00,01,14296,42.7750,141.6917,386,1575,22,-3.29,0
2018-01-01 00:00:00,01,15041,44.2817,142.1617,206,1612,255,-13.25,0
2018-01-01 00:00:00,01,15076,44.0100,142.1600,238,1612,159,-12.39,0
2018-01-01 00:00:00,01,15116,43.8150,141.9267,262,1594,63,-7.18,0
2018-01-01 00:00:00,01,15161,43.7183,142.0733,273,1605,55,-4.49,0
2018-01-01 00:00:00,01,15231,43.5950,141.7317,288,1578,100,-9.07,0
2018-01-01 00:00:00,01,15241,43.5700,141.9383,291,1595,50,-5.26,0
2018-01-01 00:00:00,01,15251,43.5200,142.1900,297,1615,91,-1.88,0
2018-01-01 00:00:00,01,15311,43.3300,141.6167,320,1569,50,-4.35,0
2018-01-01 00:00:00,01,15321,43.3633,141.8267,316,1586,16,-4.51,0
2018-01-01 00:00:00,01,15356,43.2117,141.7850,334,1582,42,-3.33,0
2018-01-01 00:00:00,01,15431,43.0117,141.6933,358,1575,13,-4.99,0
2018-01-01 00:00:00,01,15442,43.0383,141.9567,355,1596,293,-1.47,0
2018-01-01 00:00:00,01,16026,43.2717,140.5633,327,1485,75,-3.75,0
2018-01-01 00:00:00,01,16061,43.1450,140.4233,342,1473,50,1.59,0
2018-01-01 00:00:00,01,16076,43.1817,140.7583,338,1500,20,-3.29,0
2018-01-01 00:00:00,01,16091,43.1817,141.0150,338,1521,25,-1.27,0
2018-01-01 00:00:00,01,16156,42.9800,140.6033,362,1488,15,2.58,0
2018-01-01 00:00:00,01,16206,42.8100,140.5417,382,1483,39,1.59,0
2018-01-01 00:00:00,01,16217,42.9000,140.7567,371,1500,176,1.69,0
2018-01-01 00:00:00,01,16252,42.7950,140.2233,384,1457,33,2.98,0
2018-01-01 00:00:00,01,16281,42.7750,140.8800,386,1510,440,0.66,0
2018-01-01 00:00:00,01,16286,42.7933,140.9483,384,1515,264,-1.21,0
2018-01-01 00:00:00,01,16321,42.6633,140.3100,400,1464,27,2.64,0
2018-01-01 00:00:00,01,17036,44.5800,142.9633,170,1677,14,-6.28,0
2018-01-01 00:00:00,01,17076,44.4700,143.1083,183,1688,8,-7.38,0
2018-01-01 00:00:00,01,17091,44.3317,142.9350,200,1674,120,-10.77,0
2018-01-01 00:00:00,01,17112,44.3450,143.3550,198,1708,16,-4.67,0
2018-01-01 00:00:00,01,17116,44.3033,143.4033,203,1712,18,-5.88,0
2018-01-01 00:00:00,01,17166,44.2133,143.6183,214,1729,5,-6.81,0
2018-01-01 00:00:00,01,17196,44.1767,143.0617,218,1684,165,-12.02,0
2018-01-01 00:00:00,01,17246,44.1150,144.0367,226,1762,3,-6.61,0
2018-01-01 00:00:00,01,17306,44.0533,143.5400,233,1723,80,-10.40,0
2018-01-01 00:00:00,01,17316,44.0183,143.7600,237,1740,54,-9.33,0
2018-01-01 00:00:00,01,17341,44.0167,144.2783,237,1782,38,-1.14,0
2018-01-01 00:00:00,01,17351,44.0517,144.9817,233,1838,144,-2.70,0
2018-01-01 00:00:00,01,17482,43.8650,143.1533,256,1692,475,-5.47,0
2018-01-01 00:00:00,01,17501,43.9167,143.5317,249,1722,199,-8.05,0
2018-01-01 00:00:00,01,17521,43.7767,143.8417,266,1747,104,-4.57,0
2018-01-01 00:00:00,01,17531,43.8800,144.1633,254,1773,33,-3.58,0
2018-01-01 00:00:00,01,17546,43.8417,144.4850,258,1798,52,-1.98,0
2018-01-01 00:00:00,01,17561,43.8850,144.7000,253,1815,15,-4.27,0
2018-01-01 00:00:00,01,17596,43.7417,143.4500,270,1715,325,-7.20,0
2018-01-01 00:00:00,01,17607,43.7067,143.6433,275,1731,184,-7.93,0
2018-01-01 00:00:00,01,17631,43.7700,144.1717,267,1773,60,-1.95,0
2018-01-01 00:00:00,01,17717,43.7017,144.0333,275,1762,100,-2.50,0
2018-01-01 00:00:00,01,18038,44.0233,145.1867,237,1854,15,-3.13,0
2018-01-01 00:00:00,01,18136,43.6617,145.1317,280,1850,3,-1.70,0
2018-01-01 00:00:00,01,18161,43.5200,144.7467,297,1819,181,-2.84,0
2018-01-01 00:00:00,01,18171,43.5433,144.9783,294,1838,50,-2.16,0
2018-01-01 00:00:00,01,18174,43.5767,144.9600,290,1836,65,-2.90,0
2018-01-01 00:00:00,01,18256,43.3817,145.1183,314,1849,23,-2.21,0
2018-01-01 00:00:00,01,18273,43.3300,145.5850,320,1886,25,-1.17,0
2018-01-01 00:00:00,01,18281,43.3933,145.7583,312,1900,12,-0.51,0
2018-01-01 00:00:00,01,18311,43.2217,145.2267,333,1858,41,-2.60,0
2018-01-01 00:00:00,01,19021,43.6167,144.4567,285,1796,158,-3.08,0
2018-01-01 00:00:00,01,19051,43.5100,144.4667,298,1797,170,-2.43,0
2018-01-01 00:00:00,01,19076,43.4367,144.0850,307,1766,450,-3.09,0
2018-01-01 00:00:00,01,19151,43.2917,144.5867,324,1806,20,-1.07,0
2018-01-01 00:00:00,01,19191,43.2317,144.3250,332,1785,38,-0.88,0
2018-01-01 00:00:00,01,19261,43.1983,144.1417,336,1771,80,-1.49,0
2018-01-01 00:00:00,01,19311,43.1200,145.1100,345,1848,2,-2.21,0
2018-01-01 00:00:00,01,19347,43.0400,144.1917,355,1775,95,-1.34,0
2018-01-01 00:00:00,01,19376,43.0900,144.7783,349,1822,85,-1.18,0
2018-01-01 00:00:00,01,19416,42.9700,144.0617,363,1764,9,-1.36,0
2018-01-01 00:00:00,01,19432,42.9850,144.3767,361,1790,5,0.11,0
2018-01-01 00:00:00,01,19451,42.9383,144.7350,367,1818,149,-0.88,0
2018-01-01 00:00:00,01,20146,43.4683,143.7383,303,1739,207,-2.60,0
2018-01-01 00:00:00,01,20186,43.3667,143.1917,315,1695,540,-6.45,0
2018-01-01 00:00:00,01,20266,43.2350,143.3033,331,1704,295,-4.29,0
2018-01-01 00:00:00,01,20276,43.2433,143.5533,330,1724,90,-2.85,0
